"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired"
"Smith 1992","Baja California","Coronado","Mammals","Rodentia","Cricetidae","Neotoma bunkeri","Neotoma lepida ravida","Neotoma bunkeri","","Both","Length",170.25,219.2,65.384,16.599,86,6,172.4,168.1,76.84,45.85,49,37,222,216.4,NA,16.6,1,5,-113.508706,29.0739,8.5,2,"Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)","Phylogeny: Smith, F. A. Evolution of body size among woodrats from Baja California, Mexico. Funct. Ecol., 265-273 (1992).","Island rule","Yes"
"Smith 1992","Baja California","Todos Santos","Mammals","Rodentia","Cricetidae","Neotoma lepida","Neotoma lepida intermedia","Neotoma anthonyi","","Both","Length",168.95,179.7,27.258,13.843,27,60,173.8,164.1,25.36,28.9,13,14,182.3,177.1,16.34,12.2,22,38,-116.805,31.811,1.2,6,"Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)","Phylogeny: Smith, F. A. Evolution of body size among woodrats from Baja California, Mexico. Funct. Ecol., 265-273 (1992).","Island rule","Yes"
"Smith 1992","Baja California","Cedros","Mammals","Rodentia","Cricetidae","Neotoma lepida","Neotoma lepida molagrandis","Neotoma bryanti","","Both","Length",178.85,196.05,67.774,16.322,94,58,182.4,175.3,63.54,71.59,46,48,200.1,192,19.14,13.41,27,31,-115.222,28.183,348.295,24,"Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)","Phylogeny: Smith, F. A. Evolution of body size among woodrats from Baja California, Mexico. Funct. Ecol., 265-273 (1992).","Island rule","Yes"
"Smith 1992","Baja California","San Martin","Mammals","Rodentia","Cricetidae","Neotoma lepida","Neotoma lepida egressa","Neotoma martinensis","","Both","Length",172.85,184.65,58.116,8.147,83,29,177.1,168.6,61.08,55.07,41,42,193.6,175.7,8.96,6.21,19,10,-116.113,30.488,2.3,5,"Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)","Phylogeny: Smith, F. A. Evolution of body size among woodrats from Baja California, Mexico. Funct. Ecol., 265-273 (1992).","Island rule","Yes"
"Lo Valvo and Giacalone 2008, Amor et al. 2011","Tunisia","Sicily","Amphibians","Anura","Bufonidae","Bufo boulengeri","Bufo boulengeri","Bufo siculus","","Male","Weight",29.9,49.3,3.42,9.503,27,354,29.9,NA,3.42,NA,27,NA,49.3,NA,9.503438186,NA,354,NA,14.275,37.481,25460,3.1,"Weight","Phylogeny: Stöck, M., Sicilia, A., Belfiore, N. M., Buckley, D., Brutto, S. L., Valvo, M. L., & Arculeo, M. (2008). Post-Messinian evolutionary relationships across the Sicilian channel: mitochondrial and nuclear markers link a new green toad from Sicily to African relatives. BMC evolutionary Biology, 8(1), 56.","No island rule","No"
"Allen 1938","Chunganhsien","Hainan","Mammals","Eulipotyphla","Talpidae","Mogera insularis","Mogera latouchei","Mogera hainana","","Unsexed","Length",102,123.2,10.328,7.05,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.842,19.229,32900,17,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Phylogeny:Abe, H. (1995). Revision of the Asian moles of the genus Mogera. Journal of the Mammalogical Society of Japan, 20(1), 51-68.","No island rule","Yes"
"Pedrono and Markwell 2001, Monadjem et al. 2013","Swaziland","Madagascar","Reptiles","Testudines","Testudinidae","Stigmochelys pardalis","Geochelone pardalis","Geochelone yniphora","Herbivorous","Both","Weight",4217,9550,1511.17,2039.853,32,72,3524,4910,922,1928,16,16,10300,8800,2400,1700,32,40,46.69,-19.024,586884,420,"Weight","Phylogeny:Caccone, A., Amato, G., Gratry, O. C., Behler, J., & Powell, J. R. (1999). A molecular phylogeny of four endangered Madagascar tortoises based on mtDNA sequences. Molecular Phylogenetics and Evolution, 12(1), 1-9.","No island rule","No"
"Walker et al. 2008, Monadjem et al. 2013","Swaziland","Madagascar","Reptiles","Testudines","Testudinidae","Stigmochelys pardalis","Geochelone pardalis","Pyxis arachnoides arachnoides","Herbivorous","Both","Weight",4217,426.55,1511.17,14.923,32,236,3524,4910,922,1928,16,16,455,398.1,12.7,15.9,78,158,46.69,-19.024,586884,420,"Weight","Phylogeny:Caccone, A., Amato, G., Gratry, O. C., Behler, J., & Powell, J. R. (1999). A molecular phylogeny of four endangered Madagascar tortoises based on mtDNA sequences. Molecular Phylogenetics and Evolution, 12(1), 1-9.","No island rule","No"
"Martins et al 2001","Brazil","Ilha da Queimada Grande","Reptiles","Squamata","Viperidae","Bothrops jararaca","Bothrops jararaca","Bothrops insularis","","Female","SVL",946.9,666.1,92.4,86.7,64,273,NA,946.9,NA,92.4,NA,64,NA,666.1,NA,86.7,NA,273,-46.675,-24.486,0.43,34.6,"LOG10(Weight, g)= LOG10(SVL, mm)*2.655-5.165, Feldman et al 2015","Phylogeny:Martins, M., Araujo, M. S., Sawaya, R. J. & Nunes, R. Diversity and evolution of macrohabitat use, body size and morphology in a monophyletic group of Neotropical pitvipers (Bothrops). Journal of Zoology 254, 529-538 (2001).","No island rule","Yes"
"Molina-Borja and Rodriguez-Dominguez 2004","Tenerife","El Hierro","Reptiles","Squamata","Lacertidae","Gallotia galloti","Gallotia galloti","Gallotia caesaris caesaris","","Both","SVL",100.231,70.47,NA,NA,128,98,110.6691781,89.79381818,NA,NA,73,55,73.33,67.61,NA,NA,49,49,-17.985,27.731,268.71,110.7,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Phylogey: Maca-Meyer, N., Carranza, S., Rando, J. C., Arnold, E. N., Cabrera, V. M. (2003). Status and relationships of the extinct giant Canary Island lizard Gallotia goliath (Reptilia: Lacertidae), assessed using ancient mtDNA from its mummified remains. Biological Journal of the Linnean Society, 80 (4): 659-670.","No island rule","Yes"
"Molina-Borja and Rodriguez-Dominguez 2004, Herrel et al. 1999","Tenerife","El Hierro","Reptiles","Squamata","Lacertidae","Gallotia galloti","Gallotia galloti","Gallotia caesaris caesaris","","Both","SVL",101.49,70.47,1.098,NA,139,98,109.65,93.33,1.11,1.09,56,83,73.33,67.61,NA,NA,49,49,-17.985,27.731,268.71,110.7,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Phylogey: Maca-Meyer, N., Carranza, S., Rando, J. C., Arnold, E. N., Cabrera, V. M. (2003). Status and relationships of the extinct giant Canary Island lizard Gallotia goliath (Reptilia: Lacertidae), assessed using ancient mtDNA from its mummified remains. Biological Journal of the Linnean Society, 80 (4): 659-670.","No island rule","Yes"
"Molina-Borja and Rodriguez-Dominguez 2004","Tenerife","La Gomera","Reptiles","Squamata","Lacertidae","Gallotia galloti","Gallotia galloti","Gallotia caesaris gomerae","","Both","SVL",100.231,89.74,NA,NA,128,51,110.6691781,89.79381818,NA,NA,73,55,96.34,83.14,NA,NA,23,28,-17.227,28.124,369.76,27.15,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Phylogey: Maca-Meyer, N., Carranza, S., Rando, J. C., Arnold, E. N., Cabrera, V. M. (2003). Status and relationships of the extinct giant Canary Island lizard Gallotia goliath (Reptilia: Lacertidae), assessed using ancient mtDNA from its mummified remains. Biological Journal of the Linnean Society, 80 (4): 659-670.","No island rule","Yes"
"Molina-Borja and Rodriguez-Dominguez 2004, Herrel et al. 1999","Tenerife","La Gomera","Reptiles","Squamata","Lacertidae","Gallotia galloti","Gallotia galloti","Gallotia caesaris gomerae","","Both","SVL",101.49,89.74,1.098,NA,139,51,109.65,93.33,1.11,1.09,56,83,96.34,83.14,NA,NA,23,28,-17.227,28.124,369.76,27.15,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Phylogey: Maca-Meyer, N., Carranza, S., Rando, J. C., Arnold, E. N., Cabrera, V. M. (2003). Status and relationships of the extinct giant Canary Island lizard Gallotia goliath (Reptilia: Lacertidae), assessed using ancient mtDNA from its mummified remains. Biological Journal of the Linnean Society, 80 (4): 659-670.","No island rule","Yes"
"Castilla and Bauwens 2000, Carretero and Llorente 1993","Tarragona, Spain","Columbrete grande","Reptiles","Squamata","Lacertidae","Podarcis hispanicus","Podarcis hispanica","Podarcis hispanica atrata","","Female","SVL",43.34,63,4.07,3.699,10,152,45.82,43.34,3.89,4.07,27,10,NA,63,NA,3.698648402,NA,152,0.684,39.898,0.14,50.8,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Podarcis atrata = Podarcis hispanica atrata, Castilla, A. M. & Bauwens, D. Reproductive characteristics of the lacertid lizard Podarcis atrata. Copeia 2000, 748-756 (2000).","No island rule","No"
"Hews 1990, Parker and Pianka 1975","Baja California (Mojave, Puerto Libertad and Estero de Tastiota)","San Pedro Martir","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta palmeri","","Male","SVL",51.752,73.8,2.349,2.4,82,33,51.75219512,NA,2.349267595,NA,82,NA,73.8,NA,2.4,NA,33,NA,-112.306,28.83,2.72,50,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","Upton, D. E., & Murphy, R. W. (1997). Phylogeny of the side-blotched lizards (Phrynosomatidae: Uta) based on mtDNA sequences: support for a midpeninsular seaway in Baja California. Molecular phylogenetics and evolution, 8(1), 104-113.","No island rule","No"
"Dunham et al 1978, Parker and Pianka 1975","Baja California (Mojave, Puerto Libertad and Estero de Tastiota)","Salsipuedes","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta antiqua","","Both","SVL",48.932,48.739,1.861,9.791,56,60,51.55296296,46.31068966,2.20632345,1.468388884,27,29,46.63,50.848,11.27847037,8.389972271,27,33,-112.956,28.727,1.08,16.36,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","Upton, D. E., & Murphy, R. W. (1997). Phylogeny of the side-blotched lizards (Phrynosomatidae: Uta) based on mtDNA sequences: support for a midpeninsular seaway in Baja California. Molecular phylogenetics and evolution, 8(1), 104-113.","Island rule","No"
"Dunham et al 1978, Parker and Pianka 1975","Baja California (Mojave, Puerto Libertad and Estero de Tastiota)","San Lorenzo Sur","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta antiqua","","Both","SVL",48.932,48.759,1.861,10.235,56,44,51.55296296,46.31068966,2.20632345,1.468388884,27,29,46.893,50.625,12.52577915,3.298275137,28,16,-112.815,28.632,33.03,16.36,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","Upton, D. E., & Murphy, R. W. (1997). Phylogeny of the side-blotched lizards (Phrynosomatidae: Uta) based on mtDNA sequences: support for a midpeninsular seaway in Baja California. Molecular phylogenetics and evolution, 8(1), 104-113.","Island rule","No"
"Dunham et al 1978, Parker and Pianka 1975","Baja California (Mojave, Puerto Libertad and Estero de Tastiota)","San Pedro Nolasco","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta nolascensis","","Both","SVL",48.932,48.324,1.861,8.702,56,36,51.55296296,46.31068966,2.20632345,1.468388884,27,29,46.6,50.048,9.112901991,8.402103239,15,21,-111.378,27.967,4.254,14.9,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","Upton, D. E., & Murphy, R. W. (1997). Phylogeny of the side-blotched lizards (Phrynosomatidae: Uta) based on mtDNA sequences: support for a midpeninsular seaway in Baja California. Molecular phylogenetics and evolution, 8(1), 104-113.","Island rule","No"
"Dunham et al 1978, Parker and Pianka 1975","Baja California (Mojave, Puerto Libertad and Estero de Tastiota)","San Pedro Martir","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta palmeri","","Both","SVL",48.932,63.858,1.861,8.392,56,85,51.55296296,46.31068966,2.20632345,1.468388884,27,29,60.745,66.971,10.29963188,4.051281714,51,34,-112.306,28.83,2.72,50,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","Upton, D. E., & Murphy, R. W. (1997). Phylogeny of the side-blotched lizards (Phrynosomatidae: Uta) based on mtDNA sequences: support for a midpeninsular seaway in Baja California. Molecular phylogenetics and evolution, 8(1), 104-113.","Island rule","No"
"Dunham et al 1978, Parker and Pianka 1975","Baja California (Mojave, Puerto Libertad and Estero de Tastiota)","Santa Catalina (Baja)","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta squamata","","Both","SVL",48.932,48.876,1.861,13.003,56,52,51.55296296,46.31068966,2.20632345,1.468388884,27,29,47.111,50.64,15.54879198,9.505334627,27,25,-110.78,25.652,41,25.9,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","Upton, D. E., & Murphy, R. W. (1997). Phylogeny of the side-blotched lizards (Phrynosomatidae: Uta) based on mtDNA sequences: support for a midpeninsular seaway in Baja California. Molecular phylogenetics and evolution, 8(1), 104-113.","Island rule","No"
"Pigot et al. 2020","Guyana","Saint Vincent","Birds","Passeriformes","Tyrannidae","Elaenia flavogaster","Elaenia flavogaster","Elaenia flavogaster","Omnivore","Female","Tarsus Length",19.375,19.985,0.891,0.832,4,4,NA,19.375,NA,0.890748749,NA,4,NA,19.985,NA,0.83156479,NA,4,-61.187,13.247,345,272,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Lyon 1911","Borneo","Panebangan","Mammals","Chiroptera","Emballonuridae","Emballonura monticola","Emballonura monticola","Emballonura alecto anambensis","","Female","Length",42.444,43,3.283,1,9,3,43,42.44444444,0,3.282952601,1,9,NA,43,NA,1,NA,3,109.253,-1.22,26,31,"Chiroptera (n= 350 datapoints, Novak 1999).  log10(BM,g) = - 3.1442 + 2.4085*log10(length, mm) (R² = 0.8801). ","Shi, Jeff J., Daniel L. Rabosky. 2015. Speciation dynamics during the global radiation of extant bats. Evolution 69 (6): 1528-1545","No island rule","Yes"
"D'Angelo et al. 2008, Zuffi et al. 2006","Italy","Sicily","Reptiles","Testudines","Emydidae","Emys orbicularis","Emys orbicularis","Emys trinacris","Omnivorous","Both","SCL",127.317,123.03,12.713,9.507,519,228,122.0695495,132.5646465,12.12,13.14,222,297,119.4801471,126.5793478,7.87,11.52,136,92,14.275,37.481,25460,3.1,"LOG10(Weight, g)= LOG10(SCL, mm)*2.677-3.855, own allometry, data from Regis and Meik 2017, N = 692, r2= 0.95","Guillon, J. M., Guéry, L., Hulin, V., & Girondot, M. (2012). A large phylogeny of turtles (Testudines) using molecular data. Contributions to Zoology, 81(3), 147-158j.","No island rule","No"
"Zuffi et al 2006","Italy","Sicily","Reptiles","Testudines","Emydidae","Emys orbicularis","Emys orbicularis","Emys trinacris","Omnivorous","Female","SCL",132.565,109,13.14,14.9,297,4,NA,132.5646465,NA,13.14,NA,297,NA,109,NA,14.9,NA,4,14.275,37.481,25460,3.1,"LOG10(Weight, g)= LOG10(SCL, mm)*2.677-3.855, own allometry, data from Regis and Meik 2017, N = 692, r2= 0.95","Guillon, J. M., Guéry, L., Hulin, V., & Girondot, M. (2012). A large phylogeny of turtles (Testudines) using molecular data. Contributions to Zoology, 81(3), 147-158j.","No island rule","Yes"
"D'Angelo et al. 2008, Zuffi and Gariboldi 1995","Italy","Sicily","Reptiles","Testudines","Emydidae","Emys orbicularis","Emys orbicularis","Emys trinacris","Omnivorous","Female","Weight",406.5,324.289,147.598,104.162,141,80,NA,406.5,NA,147.6,NA,141,281.15,367.4275,55.81,104.16,132,80,14.275,37.481,25460,3.1,"Weight","Guillon, J. M., Guéry, L., Hulin, V., & Girondot, M. (2012). A large phylogeny of turtles (Testudines) using molecular data. Contributions to Zoology, 81(3), 147-158j.","No island rule","No"
"Miller 1912","Europe","Corfu","Mammals","Eulipotyphla","Soricidae","Erinaceus roumanicus","Erinaceus roumanicus","Erinaceus roumanicus nesiotes","","Both","CBL",59.025,59.1,3.275,0.424,6,2,59.45,58.6,3.767846423,0.565685425,4,2,58.8,59.4,0,0,1,1,19.784,39.677,585.3,2.5,"log10(mass,g) = -4.2577  +4.0475*log10(CBL mm), r2 = 0.9895, own model, Eulipotyphla","Conspecific","No island rule","Yes"
"Miller 1912","Europe","Crete","Mammals","Eulipotyphla","Soricidae","Erinaceus roumanicus","Erinaceus roumanicus","Erinaceus roumanicus nesiotes","","Both","CBL",59.025,54,3.275,1.414,6,2,59.45,58.6,3.767846423,0.565685425,4,2,55,53,0,0,1,1,24.809,35.24,8336,95,"log10(mass,g) = -4.2577  +4.0475*log10(CBL mm), r2 = 0.9895, own model, Eulipotyphla","Conspecific","No island rule","Yes"
"Higgins and Peter 2002","NI & SI, NZ","Norfolk","Birds","Passeriformes","Acanthizidae","Gerygone igata","Gerygone igata","Gerygone modesta","","Male","Weight",6,7.4,0.63,0.41,9,6,6,NA,0.63,NA,9,NA,7.4,NA,0.41,NA,6,NA,167.96,-29.03,36.8,1400,"Weight","Nyári, Á.S. and Joseph, L. (2012). Evolution in Australasian mangrove forests: multilocus phylogenetic analysis of the Gerygone warblers (Aves: Acanthizidae). PLoS ONE 7(2): e31840.","No island rule","Yes"
"Rivas et al. 2013, Serrano-Cardozo et al. 2009","Colombia","La Blanquilla","Reptiles","Squamata","Sphaerodactylidae","Gonatodes albogularis","Gonatodes albogularis","Gonatodes naufragus","","Both","SVL",36.2,25.288,2.554,1.182,126,6,36.97,35.43,2.8,2.22,69,57,24.05,26.525,1.060660172,1.220314167,2,4,-64.5988,11.846,64.53,133.42,"LOG10(Weight, g)= LOG10(SVL, mm)*2.970-4.559, Feldman et al 2015","Phylogeny: Pyron, R. A., Burbrink, F. T., & Wiens, J. J. (2013). A phylogeny and revised classification of Squamata, including 4161 species of lizards and snakes. BMC evolutionary biology, 13(1), 1-54.","No island rule","No"
"Pigot et al. 2020","Malaysia","Java","Birds","Piciformes","Picidae","Hemicircus concretus","Hemicircus concretus sordidus","Hemicircus concretus concretus",NA,"Both","Tarsus Length",15.408,15.623,0.287,0.64,4,4,15.595,15.22,0.275771645,0.296984848,2,2,16.315,14.93,0.799030663,0.424264069,2,2,107.5667,-6.95,138793.6,340,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Malaysia","Java","Birds","Piciformes","Picidae","Hemicircus concretus","Hemicircus concretus sordidus","Hemicircus concretus concretus",NA,"Both","Wing Length",85.75,84,3.202,1.581,4,4,83,88.5,2.828427125,3.535533906,2,2,83.5,84.5,2.121320344,0.707106781,2,2,107.5667,-6.95,138793.6,340,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Schultz 1933, Geissmann 1993, Zihlman et al 2011","Java","Mentawai","Mammals","Primata","Hylobatidae","Hylobates moloch","Hylobates moloch","Hylobates klossii","","Both","Weight",6532,5800,536.972,632.634,5,6,7139,5925,571.7368276,459.6194078,3,2,5700,5900,636.3961031,631.3744536,2,4,98.975,-1.413,4030,143.5,"Weight","Whittaker, D. J. (2005). Evolutionary genetics of Kloss's gibbons (Hylobates klossii): systematics, phylogeography, and conservation. City University of New York.","No island rule","No"
"Swarth 1931","Point Barrow","Nunivak","Mammals","Rodentia","Cricetidae","Lemmus trimucronatus","Lemmus trimucronatus yukonensis","Lemmus trimucronatus harroldi","","Both","Skull",29.125,32.433,0.842,0.929,5,3,30,28.25,1,0.35,3,2,33.5,31.9,NA,0.14,1,2,-166.414,60.072,4209,30,"log10(mass,g) = -2.8722  +3.1651*log10(Skull mm), r2 = 0.9801, own model, All species","Conspecific","No island rule","Yes"
"Swarth 1931","Point Barrow","Saint George","Mammals","Rodentia","Cricetidae","Lemmus trimucronatus","Lemmus trimucronatus yukonensis","Lemmus trimucronatus nigripes","","Both","Skull",29.125,30,0.842,1.5,5,3,30,28.25,1,0.35,3,2,29.25,31.5,1.06,0,2,1,-169.603,56.5728,90,360,"log10(mass,g) = -2.8722  +3.1651*log10(Skull mm), r2 = 0.9801, own model, All species","Conspecific","No island rule","Yes"
"Nelson 1898","Mexico","Maria Madre","Birds","Columbiformes","Columbidae","Leptotila verreauxi","Leptotila verreauxi angelica (Leptotila fulviventris brachyptera)","Leptotila verreauxi capitalis","","Both","Wing Length",146.05,152.05,NA,NA,8,8,147.8,144.3,NA,NA,5,3,152.5,151.6,NA,NA,5,3,-106.558,21.61,200,100,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Lawlor 1982","Cape Region, Baja California Sur","Espiritu Santo","Mammals","Lagomorpha","Leporidae","Lepus californicus","Lepus californicus","Lepus californicus","","Both","Length",443,478.2,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-110.342,24.482,84.08,6.15,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Conspecific","Island rule","No"
